Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,129677,129677
2014,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,131960,131960
2015,Health Care Services,Environmental Health,Cooperative Extension,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,134927,134927
2013,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,161175,161175
2015,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,161175,161175
2014,Health Care Services,Environmental Health,Environmental Health,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,163569,163569
2014,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,853254,853254
2013,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,863657,863657
2015,Health Care Services,Environmental Health,Environmental Health,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,889780,880833
2013,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3618846,3618846
2014,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4007103,4486441
2015,Health Care Services,Environmental Health,Environmental Health,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4125057,4187488
2013,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,11032886,11032886
2014,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,13724419,13245081
2015,Health Care Services,Environmental Health,Environmental Health,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,14061861,14018750
2013,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946,25946
2015,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946,25946
2014,Health Care Services,Environmental Health,Environmental Health Grants,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25946,25946
2013,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,60661,60661
2014,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70820,70820
2015,Health Care Services,Environmental Health,Environmental Health Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,105397,106295
2015,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,252903,252903
2013,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,381509,381509
2014,Health Care Services,Environmental Health,Environmental Health Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,464905,464905
2014,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1165664,1165664
2013,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1278571,1278571
2015,Health Care Services,Environmental Health,Environmental Health Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1415296,1415296
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220,1050220
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220,1050220
2015,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Other Charges,Other Charges,Total of Other Charges,1050220,1050220
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2914142,2914142
2013,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3175638,3175638
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3295122,2989142
2014,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3425638,3425638
2015,Health Care Services,Health Care Measure A,Behavioral Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6867860,6470760
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,200,200
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,500,500
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678,298678
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678,298678
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,298678,298678
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,3000000,3000000
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,3000000,3000000
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Other Charges,Other Charges,Total of Other Charges,4000000,4000000
2013,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11838023,11688023
2014,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13217857,12812425
2015,Health Care Services,Health Care Measure A,HCSA - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,13239598,13018157
2015,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,21059,21059
2014,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,24000,24000
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,28800,28800
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1473349,1473349
2013,Health Care Services,Health Care Measure A,Public Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1631851,1631851
2015,Health Care Services,Health Care Measure A,Public Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1631851,1631851
2014,Health Care Services,Health Care Measure A,Public Health - Measure A,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1631851,1631851
2014,Health Care Services,Health Care Measure A,Public Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2433199,2412149
2015,Health Care Services,Health Care Measure A,Public Health - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2707264,2436140
2014,Health Care Services,Health Care Measure A,Sup District 1 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Health Care Measure A,Sup District 1 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2013,Health Care Services,Health Care Measure A,Sup District 1 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2013,Health Care Services,Health Care Measure A,Sup District 2 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2014,Health Care Services,Health Care Measure A,Sup District 2 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Health Care Measure A,Sup District 2 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2013,Health Care Services,Health Care Measure A,Sup District 3 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2014,Health Care Services,Health Care Measure A,Sup District 3 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Health Care Measure A,Sup District 3 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2013,Health Care Services,Health Care Measure A,Sup District 4 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Health Care Measure A,Sup District 4 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2014,Health Care Services,Health Care Measure A,Sup District 4 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2014,Health Care Services,Health Care Measure A,Sup District 5 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Health Care Measure A,Sup District 5 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2013,Health Care Services,Health Care Measure A,Sup District 5 - Measure A,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,150000,150000
2015,Health Care Services,Medical Care Financing,Medical Care Financing,Other Charges,Other Charges,Total of Other Charges,8500000,8500000
2014,Health Care Services,Public Health Department,HCSA-Public Health,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-39600,-39600
2013,Health Care Services,Public Health Department,HCSA-Public Health,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-39600,-39600
